"Performer","Album","Title","Score","Length","Deleted","Favorite"
"","","Grant Miller - Wings Of Love_1527268799359.mp3","0","5:25","",""
"","","Guns N'Roses - Don't cry_1527268816966.mp3","0","4:45","","Да"
"","","Ken Laszlo - Glasses Man_1527268838712.mp3","0","3:42","",""
"","","А, как известно, мы народ горячий_1527268874407.mp3","0","1:29","",""
"","","Анофриев Олег - Дороги_1527268879329.mp3","0","1:35","",""
"","","Вступительная тема","5","2:21","","Да"
"","","Говорят, мы буки-бяки_1527268874686.mp3","0","1:57","",""
"","","Давным давно","0","1:43","",""
"","","Девочка в плаще_1527268884240.mp3","0","2:07","",""
"","","Какое небо голубое_1527268938964.mp3","0","2:54","",""
"","","Луч солнца золотого_1527268875052.mp3","0","2:30","",""
"","","Мелодия_1527268911245.mp3","0","1:58","",""
"","","Мелодия_1527268947646.mp3","0","2:33","",""
"","","Н.Рыбников - Не кочегары мы, не плотники_1527268878418.mp3","0","2:01","",""
"","","Н.Черкасов - Жил отважный капитан_1527268889271.mp3","0","2:44","",""
"","","На катке_1527268890259.mp3","0","1:40","",""
"","","Никита Михалков - Мохнатый шмель_1527268894445.mp3","0","2:51","",""
"","","Ничего на свете лучше нету_1527268876471.mp3","0","2:00","",""
"","","О.Анофриев - Есть только миг_1527268900154.mp3","0","3:42","",""
"","","Ох, рано встает охрана_1527268878132.mp3","0","1:29","",""
"","","Песня Водяного_1527268923613.mp3","0","1:28","",""
"","","Погоня_1527268907942.mp3","0","1:42","",""
"","","Погоня_1527268915884.mp3","0","2:56","",""
"","","После экзаменов_1527268933060.mp3","0","1:32","",""
"","","Прекрасное далёко_1527268884413.mp3","0","3:07","",""
"","","Частушки Бабок-Ежек_1527268924943.mp3","0","1:13","",""
"","","Ю.Никулин - Постой, паровоз!_1527268935650.mp3","0","2:34","",""
"","","Ю.Никулин, Г.Вицин, Е.Моргунов - Если б я был султан_1527268916689.mp3","0","2:40","",""
"","","Яюых зѓфхё","0","1:48","",""
"","Seventies","Seventies1","5","2:27","","Да"
"","Seventies","Seventies2","5","2:37","","Да"
"","Seventies","Seventies3","5","2:28","","Да"
"","Музыка и песни из кинофильмов","DJ Грув - 'Служебный роман' - I.mp3","0","2:45","",""
"","Музыка и песни из кинофильмов","Вальс.mp3","0","3:58","",""
"","Музыка и песни из кинофильмов","Млечный путь.mp3","0","2:52","",""
"","Музыка и песни из кинофильмов","Русские Диджеи - 'Чародеи'.mp3","0","3:24","",""
"","Песни 60-х","Лада","5","3:15","","Да"
"","Человек с бульвара Капуцинов","Бой с индейцами","5","3:49","","Да"
"","Человек с бульвара Капуцинов","Финальная песня","0","3:10","",""
"","Я шагаю по Москве","Я шагаю по Москве","5","1:59","","Да"
"#1","Golden Moonlight Serenades","Il Cigno","0","2:59","",""
"-","Дмитрий Шостакович-Борис Корнилов-Хор ВР СССР.","Песня о встречном","5","3:11","","Да"
"101 Strings","Fiddler on the Roof","Fiddler on the Roof","5","2:22","","Да"
"10cc","Magic: The Album","I'm Not in Love","0","6:04","",""
"2 Unlimited","Greatest Hits and Remixes","Get Ready (Rap Version Edit)","5","3:42","","Да"
"2002","This Moment Now","Suddenly Yours","5","3:28","","Да"
"4 Non Blondes","Bigger, Better, Faster, More! (Germany,Atlantic-Interscope,7567-92112-2)","What's Up?","5","4:56","","Да"
"A La Carte","Dance Fever - Die Disco-Hits Der 70er","Do Wah Diddy Diddy","0","3:21","",""
"ABBA","ABBA","Bang-A-Boomerang","0","3:05","",""
"ABBA","ABBA","Hey, Hey Helen","0","3:18","",""
"ABBA","ABBA Gold","Chiquitita","5","5:25","","Да"
"ABBA","ABBA Gold","Dancing Queen","5","3:51","","Да"
"ABBA","ABBA Gold","Does Your Mother Know","5","3:13","","Да"
"ABBA","ABBA Gold","Fernando","5","4:12","","Да"
"ABBA","ABBA Gold","Gimme! Gimme! Gimme! (A Man After Midnight)","5","4:49","","Да"
"ABBA","ABBA Gold","I Have A Dream","5","4:43","","Да"
"ABBA","ABBA Gold","Knowing Me, Knowing You","5","4:01","","Да"
"ABBA","ABBA Gold","Mamma Mia","5","3:30","","Да"
"ABBA","ABBA Gold","Money, Money, Money","5","3:06","","Да"
"ABBA","ABBA Gold","S.O.S.","5","3:21","","Да"
"ABBA","ABBA Gold","Super Trouper","5","4:11","","Да"
"ABBA","ABBA Gold","Take A Chance On Me","5","4:06","","Да"
"ABBA","ABBA Gold","Thank You For The Music","5","3:48","","Да"
"ABBA","ABBA Gold","The Winner Takes It All","5","4:55","","Да"
"ABBA","ABBA Gold","Voulez-Vous","5","5:06","","Да"
"ABBA","ABBA Gold","Waterloo","5","2:45","","Да"
"ABBA","Abba Gold Anniversary Edition","I Am The City","0","4:01","",""
"ABBA","Arrival","Dancing Queen","0","3:50","",""
"ABBA","Greatest Hits. CD1","Chiquitita","0","5:29","",""
"ABBA","Greatest Hits. CD1","Happy New Year","0","4:26","",""
"ABBA","Greatest Hits. CD1","Hasta Mañana","0","3:13","",""
"ABBA","Greatest Hits. CD1","I Have A Dream","0","4:48","",""
"ABBA","Greatest Hits. CD1","Lay All Your Love On Me","0","4:37","",""
"ABBA","Greatest Hits. CD1","Money, Money, Money","0","3:09","",""
"ABBA","Greatest Hits. CD1","SOS","0","3:26","",""
"ABBA","Greatest Hits. CD1","Super Trouper","0","4:17","",""
"ABBA","Greatest Hits. CD1","Thank You For The Music","0","3:54","",""
"ABBA","Greatest Hits. CD1","The Winner Takes It All","0","4:57","",""
"ABBA","Greatest Hits. CD1","Voulez-Vous","0","5:11","",""
"ABBA","Greatest Hits. CD2","Angeleyes","0","4:25","",""
"ABBA","Greatest Hits. CD2","Does Your Mother Know","0","3:18","",""
"ABBA","Greatest Hits. CD2","Honey, Honey","0","2:59","",""
"ABBA","Greatest Hits. CD2","I Do, I Do, I Do, I Do, I Do","0","3:20","",""
"ABBA","Greatest Hits. CD2","On And On And On","0","3:42","",""
"ABBA","Greatest Hits. CD2","Our Last Summer","0","4:22","",""
"ABBA","Ring Ring","Another Town, Another Train","5","3:12","","Да"
"ABBA","Ring Ring","I Am Just A Girl","0","3:03","",""
"ABBA","Ring Ring","Love Isn't Easy (But It Sure Is Hard Enough)","0","2:54","",""
"ABBA","Ring Ring","Me and Bobby and Bobby's Brother","0","2:51","",""
"ABBA","Ring Ring","Nina Pretty Ballerina","0","2:52","",""
"ABBA","Super Trouper","Andante, Andante","0","4:38","",""
"ABBA","Super Trouper","Me And I","0","4:55","",""
"ABBA","Super Trouper [Australia Bonus Tracks]","Lay All Your Love On Me","0","4:34","",""
"ABBA","Super Trouper [Australia Bonus Tracks]","Our Last Summer","0","4:20","",""
"ABBA","Super Trouper [Australia Bonus Tracks]","The Piper","0","3:27","",""
"ABBA","Super Trouper [Australia Bonus Tracks]","The Way Old Friends Do [Live]","0","2:58","",""
"ABBA","The Album","Eagle","0","5:51","",""
"ABBA","The Album","Hole In Your Soul","0","3:41","",""
"ABBA","The Visitors","Head Over Heels","0","3:48","",""
"ABBA","The Visitors","One Of Us","0","3:57","",""
"ABBA","Voulez-Vous [Import Bonus Tracks]","Angeleyes","0","4:22","",""
"ABBA","Voulez-Vous [Import Bonus Tracks]","As Good As New","0","3:26","",""
"ABBA","Voulez-Vous [Import Bonus Tracks]","Kisses Of Fire","0","3:18","",""
"ABBA","Waterloo [Import Bonus Tracks]","Dance (While the Music Still Goes On)","0","3:15","",""
"ABBA","Waterloo [Import Bonus Tracks]","Hasta Manana","0","3:12","",""
"ABBA","Waterloo [Import Bonus Tracks]","Honey, Honey","0","2:55","",""
"AC/DC","AC/DC Gold 2000","Thunderstruck","0","4:53","",""
"Abba","The Essential Collection","Happy New Year","5","4:24","","Да"
"Abba","The Essential Collection","I Do, I Do, I Do, I Do, I Do","5","3:17","","Да"
"Abba","The Essential Collection","On And On And On","5","3:40","","Да"
"Accept","Objection Overruled","Amamos la vida","0","4:39","",""
"Ace of Base","Ronny's Pop Show: Best of 90's","All That She Wants","0","3:32","",""
"Acoustic Alchemy","Aart","Flamoco Loco","5","4:05","","Да"
"Acoustic Alchemy","Positive Thinking...","Passionelle","0","4:43","",""
"Acoustic Alchemy","Positive Thinking...","Positive Thinking","0","4:22","",""
"Acoustic Alchemy","Positive Thinking...","Rainwatching W. I.","0","4:42","",""
"Acoustic Alchemy","Positive Thinking...","The Better Shoes","0","5:28","",""
"Acoustic Alchemy","Positive Thinking...","The Five Card Trick","0","5:13","",""
"Acoustic Alchemy","Positive Thinking...","Time Gentlemen Please","0","4:39","",""
"Acoustic Alchemy","Positive Thinking...","Vapour Trails","0","4:31","",""
"Adriano Celentano","Colection","Il tempo se ne va","0","3:50","",""
"Adriano Celentano","Colection","Soli","0","4:05","",""
"Aerosmith","Big Ones","Crazy","0","5:16","",""
"Afric Simone","All Stars Disco","Hafanana","0","2:57","",""
"Afterlife","The Afterlife Lounge (Remastered)","China Flowers","5","5:42","","Да"
"Air","Moon Safari: Remixes, Rarities And Radio Sessions","Kelly Watch the Stars (Demo)","0","3:46","",""
"Air","Talkie Walkie","Cherry Blossom Girl","5","3:39","","Да"
"Air","Top of the Pops 1998","Sexy Boy","0","4:58","",""
"Al Anthony","Ultra-Lounge / Rhapsodesia Volume Six","Ebb Tide (1996 Digital Remaster)","0","3:39","",""
"Al Bano & Romina Power","All Stars Disco","Felicita","0","3:11","",""
"Al Bano & Romina Power","Felicità","Prima notte d'amore (Enlaces sur le sable)","5","2:53","","Да"
"Al Bano & Romina Power","Grand Collection","Tu sultano tu","0","3:42","",""
"Al Caiola","Classifica italiana 1961 (Italian Chart 1961)","The Magnificent Seven","5","2:04","","Да"
"Al Caiola","The Anthology Of American Rock 'n' Roll, Vol. 1","Bonanza","5","2:18","","Да"
"Al Caiola","Ultra Lounge: Vol. 16 Mondo Hollywood (Digital Version)","Experiment In Terror","5","2:59","","Да"
"Al Caiola","Ultra-Lounge / Cocktail Capers Volume Eight","Underwater Chase (1996 - Remaster)","5","2:17","","Да"
"Al Caiola","Ultra-Lounge / TV Town Volume Thirteen","The Man From U.N.C.L.E./The Spies (Medley)","5","4:18","","Да"
"Al Caiola","Ultra-Lounge / TV Town Volume Thirteen","The Mod Squad Theme (1997 - Remaster)","5","2:05","","Да"
"Al Caiola And His Orchestra","The Golden Age of Light Music: Cinema Classics: Songs And Themes From Theatre","'The Magnificent Seven' - Theme from the film","0","2:03","",""
"Alan Silvestri","Back to the Future","Back to the Future (End Credits)","5","3:19","","Да"
"Alan Silvestri","Back to the Future II: Original Motion Picture Soundtrack","End Title","5","4:38","","Да"
"Alan Silvestri","Back to the Future II: Original Motion Picture Soundtrack","Main Title","5","2:22","","Да"
"Alan Silvestri","Back to the Future Part III","End Credits","5","4:02","","Да"
"Alexia","Mad for Music","Money Honey","0","3:24","",""
"Algorithm","DISCOTHEK American","Beat A Bit","0","5:18","",""
"Alice Cooper","Trash","Poison","5","4:30","","Да"
"Alicia De Larrocha","Play Classical","Concerto No. 21 in C Major, K. 467: Andante","5","7:37","","Да"
"Alizée","Moi... Lolita","Moi... Lolita (piano version)","0","4:21","",""
"All Saints","All Hits","Black Coffee","0","4:49","",""
"Alphaville","Forever Young","Forever Young","0","3:46","",""
"Altan","Celtic Wonder","Dulaman","0","3:44","",""
"Alvino Rey","Ultra-Lounge / Bachelor Pad Royale Volume Four","Night Train (Digitally Remastered 95)","0","3:48","",""
"Andrea True","100 Radio Hits Of The '60s, '70s, '80s & '90s (Re-Recorded / Remastered Versions)","More More More (7&quot; Version) (Re-Recorded / Remastered)","5","3:08","","Да"
"Andreas Vollenweider","Midnight Clear","The Wexford Carol","5","5:26","","Да"
"Andy Williams","Play: Christmas Crooners","Angels We Have Heard on High","0","2:29","",""
"Animotion","12&quot; 80s Classics","Obsession","5","5:35","","Да"
"Annie Lennox","Medusa","No More &quot;I Love You's&quot;","5","4:51","","Да"
"Antonio Onorato","Greatest Hits","Lembranca de Voce","5","4:37","","Да"
"Antуnio Carlos Jobim","The Girls From Ipanema: Best of Bossa Nova","Favela","0","3:22","",""
"Aphex Twin","Selected Ambient Works 85-92","Pulsewidth","5","3:48","","Да"
"Apollo 100","Golden Instrumental Hits","Popcorn","5","3:27","","Да"
"Apollo 440","Pure... Fitness","Stop the Rock","5","3:32","","Да"
"Arabesque","All Stars Disco","Hello Mr. Monkey","0","3:29","",""
"Arabesque","The Best, Vol. 1 (Deluxe Version)","In the Heat of a Disco-Night","0","3:16","",""
"Arabesque","The Best, Vol. 1 (Deluxe Version)","Midnight Dancer","0","3:40","",""
"Arabesque","The Best, Vol. 2 (Deluxe Version)","In for a Penny, in for a Pound","0","2:59","",""
"Aria/Mario Grigorov/Paul Schwartz","Aria","Habanera (after Bizet's Carmen)","5","5:06","","Да"
"Arpadys","Spacial French Disco 1975-79, Vol. 2","Stone Roller","0","5:36","",""
"Art Of Noise","(WHO'S AFRAID OF) The Art Of Noise?","Moments in Love","0","10:16","",""
"Art Of Noise","(WHO'S AFRAID OF) The Art Of Noise?","Snapshot","0","1:02","",""
"Art of Noise","In No Sense? Nonsense!","A Day at the Races","0","4:01","",""
"Art of Noise","In No Sense? Nonsense!","Counterpoint","0","0:57","",""
"Art of Noise","In No Sense? Nonsense!","Crusoe","0","3:55","",""
"Art of Noise","In No Sense? Nonsense!","Debut","0","1:56","",""
"Art of Noise","In No Sense? Nonsense!","Dragnet","0","3:27","",""
"Art of Noise","In No Sense? Nonsense!","E.F.L.","0","5:25","",""
"Art of Noise","In No Sense? Nonsense!","Fin du Temps","0","2:05","",""
"Art of Noise","In No Sense? Nonsense!","Galleons of Stone","0","1:11","",""
"Art of Noise","In No Sense? Nonsense!","How Rapid?","0","0:52","",""
"Art of Noise","In No Sense? Nonsense!","Nothing Was Going to Stop Them Then, Anyway","0","0:45","",""
"Art of Noise","In No Sense? Nonsense!","Ode to Don Jose","0","4:14","",""
"Art of Noise","In No Sense? Nonsense!","One Earth","0","4:09","",""
"Art of Noise","In No Sense? Nonsense!","Opus for Four","0","3:11","",""
"Art of Noise","In No Sense? Nonsense!","Ransom on the Sand","0","1:17","",""
"Art of Noise","In No Sense? Nonsense!","Roller 1","0","3:30","",""
"Art of Noise","In No Sense? Nonsense!","Roundabout 727","0","0:45","",""
"Art of Noise","The Ambient Collection","A Nation Rejects","0","4:45","",""
"Art of Noise","The Ambient Collection","Art of Love [7' Edition]","0","4:26","",""
"Art of Noise","The Ambient Collection","Camilla","0","7:56","",""
"Art of Noise","The Ambient Collection","Crusoe","0","5:04","",""
"Art of Noise","The Ambient Collection","Eye of a Needle","0","4:43","",""
"Art of Noise","The Ambient Collection","Island","0","5:41","",""
"Art of Noise","The Ambient Collection","Opus 4","0","0:42","",""
"Art of Noise","The Ambient Collection","Robinson Crusoe","0","4:03","",""
"Arthur Fiedler","Marches in Hi-Fi","Aida: Grand March","5","3:35","","Да"
"Arthur Rubinstein","Play Classical","Nocturnes, Op. 9: No. 1 in B-Flat Minor","5","5:24","","Да"
"Arthur Rubinstein","Play Classical","Sonata No. 14 in C-Sharp Minor, Op. 27: No. 2 &quot;Moonlight&quot;: Adagio sostenuto","0","6:10","",""
"Artie Shaw & His Orchestra","Play: Jazz Pioneers","Rose Room","5","2:42","","Да"
"Astrud Gilberto","The Girls From Ipanema: Best of Bossa Nova","Agua De Beber","0","2:18","",""
"Astrud Gilberto","The Girls From Ipanema: Best of Bossa Nova","Once I Loved","0","2:13","",""
"Astrud Gilberto","The Girls From Ipanema: Best of Bossa Nova","The Shadow Of Your Smile","0","2:30","",""
"Audrey Hepburn, George Peppard","Henry Mancini: Breakfast At Tiffany's","Breakfast At Tiffany's","5","2:48","","Да"
"Avril Lavigne","Let Go","Sk8er Boi","5","3:24","","Да"
"B.B. King","Live In Cook County Jail","How Blue Can You Get?","0","5:12","",""
"B.B. King","Live In Cook County Jail","Worry, Worry, Worry","0","9:52","",""
"Baba Yaga","Secret Combination","Back in the USSR","5","3:16","","Да"
"Baby's Gang","Challenger","Challenger","0","5:17","",""
"Baccara","Discomania","Cara Mia","0","2:58","",""
"Baccara","Discomania","Sorry, I'm a Lady","0","3:37","",""
"Baccara","Discomania","Yes Sir, I Can Boogie","0","3:28","",""
"Bad Boys Blue","Hitcollection Vol. 1 - You're a Woman","You're A Woman","0","3:59","",""
"Baden Powell","The Girls From Ipanema: Best of Bossa Nova","Tristeza","0","3:16","",""
"Baghira","Ultra Lounge Edition, Vol.3","Underwater","0","5:24","",""
"Baha Men","10 Great Songs","Best Years Of Our Lives","0","2:57","",""
"Baha Men","Shrek","Best Years Of Our Lives","0","2:59","",""
"Bald'n Spikey","Oriental Club","Husan","0","3:06","",""
"Bananarama","The Greatest Hits Collection (Collector Edition)","Venus","5","3:48","","Да"
"Bandits","","Youve Never Heard Before","0","4:33","",""
"Bangles","The Best Of The Bangles","Walk Like an Egyptian","0","3:25","",""
"Basement Jaxx","The Singles","Do Your Thing","0","4:19","",""
"Beat Bronco Organ Trio","Roadtrip","Easy Baby","0","4:25","",""
"Beautiful World","In Existence (digitally remastered version)","Love Song","5","6:07","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","Be-boppin' Shoo-woppin' Along","5","2:43","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","Compilation","5","14:19","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","El Dorado (by Archie Thompson)","0","2:42","",""
"Becky Kneubuhl","In the Lounge with No One Lives Forever","Elevator Of Love","0","2:57","",""
"Becky Kneubuhl","In the Lounge with No One Lives Forever","Goodman's Surprise","5","2:25","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","No One Grooves Forever","5","3:12","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","Santa's Workshop","5","2:39","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","Suisse Chalet","5","3:34","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","The Operative","5","3:41","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","UNITY's Spy","5","2:59","","Да"
"Becky Kneubuhl","In the Lounge with No One Lives Forever","Untitled Track 9","5","2:42","","Да"
